features.hero_position,features.pot_bb,features.to_call_bb,features.effective_stack_bb,features.can_check,features.can_call,features.can_raise,features.players_active,features.equity_win,features.call_max_bb,features.call_margin_bb,features.bet_size_bb
OOP,0.16,0.04,1.0,0.0,1.0,1.0,2.0,0.3926666667,0.1034467618,0.0634467618,0.04
OOP,0.16,0.06,1.0,0.0,1.0,1.0,2.0,0.34,0.0824242424,0.0224242424,0.06
OOP,0.12,0.04,1.0,0.0,1.0,1.0,2.0,0.3766666667,0.072513369,0.032513369,0.04
OOP,0.2,0.02,1.0,0.0,1.0,1.0,2.0,0.47,0.1773584906,0.1573584906,0.02
OOP,0.16,0.06,1.0,0.0,1.0,1.0,2.0,0.306,0.0705475504,0.0105475504,0.06
OOP,0.24,0.04,1.0,0.0,1.0,1.0,2.0,0.4866666667,0.2275324676,0.1875324676,0.04
OOP,0.12,0.02,1.0,0.0,1.0,1.0,2.0,0.875,0.84,0.82,0.02
OOP,0.12,0.06,1.0,0.0,1.0,1.0,2.0,0.299,0.0511840228,-0.0088159772,0.06
OOP,0.24,0.04,1.0,0.0,1.0,1.0,2.0,0.7246666667,0.6316707023,0.5916707023,0.04
OOP,0.16,0.04,1.0,0.0,1.0,1.0,2.0,0.365,0.0919685039,0.0519685039,0.04
OOP,0.16,0.04,1.0,0.0,1.0,1.0,2.0,0.3516666667,0.0867866324,0.0467866324,0.04
OOP,0.24,0.04,1.0,0.0,1.0,1.0,2.0,0.35,0.1292307692,0.0892307692,0.04
OOP,0.24,0.02,1.0,0.0,1.0,1.0,2.0,0.62,0.3915789474,0.3715789474,0.02
OOP,0.2,0.06,1.0,0.0,1.0,1.0,2.0,0.9616666667,5.0173913089,4.9573913089,0.06
OOP,0.24,0.06,1.0,0.0,1.0,1.0,2.0,0.4366666667,0.186035503,0.126035503,0.06
