features.hero_position,features.pot_bb,features.to_call_bb,features.effective_stack_bb,features.can_check,features.can_call,features.can_raise,features.players_active,features.equity_win,features.call_max_bb,features.call_margin_bb,features.bet_size_bb
OOP,0.12,0.005,1.0,0.0,1.0,1.0,2.0,0.559,0.1521088435,0.1471088435,0.005
IP,0.12,0.005,1.0,0.0,1.0,1.0,2.0,0.5283333333,0.1344169611,0.1294169611,0.005
OOP,0.12,0.005,1.0,0.0,1.0,1.0,2.0,0.299,0.0511840228,0.0461840228,0.005
IP,0.12,0.005,1.0,0.0,1.0,1.0,2.0,0.5066666667,0.1232432433,0.1182432433,0.005
OOP,0.12,0.005,1.0,0.0,1.0,1.0,2.0,0.5716666667,0.160155642,0.155155642,0.005
OOP,0.12,0.005,1.0,0.0,1.0,1.0,2.0,0.54,0.1408695652,0.1358695652,0.005
IP,0.12,0.005,1.0,0.0,1.0,1.0,2.0,0.4666666667,0.105,0.1,0.005
